Processed_Review,lexicon_score,lexicon_sentiment
fresh skin care radiant natural radiant skin natural radiant skin radiant fresh radiant,0,neutral
glowing clean smooth radiant refreshing product clean hydration natural radiant beautiful soft soft care,3,positive
radiant product gentle hydration radiant gentle skin gentle fresh beautiful glowing hydration,3,positive
glowing glowing natural natural radiant skin soft refreshing glowing,2,positive
fresh smooth gentle fresh gentle beautiful natural hydration hydration natural product clean,2,positive
smooth clean glowing clean refreshing hydration hydration care,1,positive
radiant soft radiant moisturizing hydration hydration refreshing natural clean fresh radiant skin skin hydration radiant,3,positive
moisturizing gentle product smooth smooth soft soft glowing refreshing radiant smooth hydration care care soft,6,positive
hydration smooth care smooth fresh glowing soft soft beautiful glowing smooth,2,positive
soft radiant fresh care product product gentle natural moisturizing,3,positive
skin gentle care radiant beautiful radiant fresh hydration glowing care fresh smooth smooth,1,positive
hydration soft clean beautiful refreshing care glowing refreshing hydration soft soft gentle soft moisturizing hydration,8,positive
hydration glowing refreshing care moisturizing radiant clean moisturizing skin natural soft,4,positive
glowing radiant clean radiant product fresh smooth smooth skin beautiful,0,neutral
natural soft glowing care natural hydration glowing natural,1,positive
product gentle skin clean refreshing soft gentle radiant radiant moisturizing clean skin,5,positive
natural glowing glowing product product radiant natural skin fresh beautiful glowing,0,neutral
product care skin refreshing gentle gentle refreshing skin clean smooth moisturizing moisturizing glowing glowing,6,positive
natural refreshing skin moisturizing beautiful gentle refreshing beautiful refreshing gentle glowing refreshing hydration glowing,7,positive
hydration care care skin radiant smooth gentle smooth moisturizing refreshing beautiful glowing fresh,3,positive
beautiful care radiant natural radiant beautiful gentle gentle product clean,2,positive
clean clean care glowing glowing care clean soft smooth smooth gentle natural moisturizing,3,positive
fresh radiant hydration soft soft clean glowing skin radiant soft radiant,3,positive
glowing smooth natural radiant skin glowing natural beautiful refreshing smooth,1,positive
natural care radiant smooth hydration beautiful natural glowing product refreshing fresh,1,positive
natural care skin fresh product fresh gentle radiant refreshing natural product moisturizing natural,3,positive
natural product glowing soft product care clean moisturizing fresh radiant care,2,positive
glowing beautiful soft soft skin skin clean skin,2,positive
soft gentle gentle skin moisturizing natural care soft gentle skin care,6,positive
glowing refreshing product glowing radiant beautiful moisturizing beautiful natural radiant,2,positive
beautiful clean product fresh smooth clean radiant moisturizing beautiful,1,positive
smooth smooth glowing skin refreshing clean smooth beautiful radiant beautiful moisturizing,2,positive
care skin moisturizing glowing soft radiant gentle smooth natural care,3,positive
natural clean refreshing product soft beautiful gentle soft care gentle care refreshing,6,positive
gentle care moisturizing hydration moisturizing moisturizing moisturizing smooth care beautiful fresh smooth,5,positive
clean glowing clean refreshing beautiful care glowing natural moisturizing beautiful,2,positive
radiant soft gentle clean natural moisturizing refreshing smooth gentle fresh care care clean soft care,6,positive
beautiful glowing glowing glowing glowing hydration smooth gentle care clean clean clean,1,positive
radiant gentle care moisturizing fresh natural product smooth moisturizing beautiful gentle hydration,4,positive
fresh skin hydration care moisturizing smooth product clean skin smooth beautiful glowing skin smooth natural,1,positive
product soft fresh fresh soft beautiful soft natural moisturizing soft,5,positive
clean clean hydration smooth natural beautiful natural gentle radiant product,1,positive
soft smooth care clean refreshing smooth soft gentle skin hydration moisturizing,5,positive
hydration smooth smooth refreshing glowing clean glowing skin smooth smooth radiant moisturizing,2,positive
smooth product refreshing beautiful clean radiant care fresh care care,1,positive
moisturizing skin gentle radiant gentle smooth clean skin care natural gentle,4,positive
moisturizing skin glowing radiant moisturizing beautiful glowing clean,2,positive
fresh beautiful glowing smooth gentle beautiful clean fresh glowing,1,positive
gentle natural fresh clean beautiful skin care radiant fresh product soft radiant refreshing natural,3,positive
smooth refreshing moisturizing fresh skin product clean product soft radiant beautiful,3,positive
radiant skin smooth hydration refreshing clean fresh product glowing hydration refreshing glowing clean,2,positive
refreshing refreshing skin skin product natural radiant radiant moisturizing,3,positive
gentle gentle refreshing natural care hydration smooth care,3,positive
radiant gentle natural product clean product natural fresh fresh,1,positive
beautiful moisturizing glowing product clean smooth gentle beautiful fresh,2,positive
care radiant product beautiful hydration skin glowing gentle,1,positive
fresh natural soft hydration skin smooth beautiful skin care fresh radiant moisturizing,2,positive
moisturizing natural soft product beautiful gentle skin clean moisturizing soft radiant soft clean smooth care,6,positive
refreshing gentle refreshing beautiful product radiant hydration natural skin fresh skin soft fresh,4,positive
product care glowing skin refreshing glowing fresh gentle skin hydration radiant beautiful natural soft refreshing,4,positive
refreshing hydration smooth soft skin skin natural smooth natural radiant product fresh,2,positive
care smooth glowing natural clean smooth smooth fresh clean glowing fresh soft refreshing care skin,2,positive
hydration beautiful fresh smooth beautiful hydration care radiant,0,neutral
gentle skin refreshing clean refreshing beautiful hydration hydration beautiful,3,positive
care glowing gentle gentle beautiful product skin care natural gentle radiant radiant,3,positive
radiant product clean clean moisturizing radiant glowing fresh gentle care moisturizing beautiful,3,positive
moisturizing natural moisturizing soft hydration fresh soft smooth gentle,5,positive
hydration clean moisturizing skin refreshing fresh natural radiant natural soft product gentle,4,positive
care smooth product skin skin skin soft moisturizing hydration refreshing care,3,positive
clean radiant radiant beautiful glowing fresh soft refreshing radiant skin soft natural refreshing natural beautiful,4,positive
natural care beautiful skin glowing radiant natural care smooth refreshing care hydration moisturizing,2,positive
fresh natural skin fresh glowing gentle glowing moisturizing skin fresh soft soft fresh clean,4,positive
radiant care fresh moisturizing natural refreshing glowing refreshing skin refreshing,4,positive
hydration skin moisturizing glowing natural soft beautiful fresh hydration radiant refreshing radiant,3,positive
glowing glowing smooth refreshing moisturizing beautiful gentle glowing natural moisturizing,4,positive
beautiful smooth hydration clean care glowing care smooth clean product beautiful soft gentle refreshing,3,positive
clean product hydration beautiful smooth natural hydration gentle gentle gentle smooth hydration hydration natural,3,positive
moisturizing glowing moisturizing glowing clean smooth glowing hydration,2,positive
hydration fresh radiant skin skin clean product natural,0,neutral
fresh gentle natural natural radiant soft fresh beautiful product,2,positive
natural radiant smooth radiant soft beautiful glowing refreshing fresh soft radiant product,3,positive
clean beautiful skin hydration soft gentle radiant product hydration clean gentle,3,positive
natural hydration skin care product clean care hydration skin smooth moisturizing natural skin,1,positive
hydration hydration refreshing hydration skin natural smooth natural gentle care smooth,2,positive
gentle product smooth fresh refreshing beautiful refreshing beautiful care skin,3,positive
beautiful moisturizing natural product radiant smooth care skin gentle,2,positive
natural soft clean skin moisturizing fresh hydration hydration clean hydration fresh,2,positive
smooth smooth skin moisturizing soft glowing hydration gentle,3,positive
moisturizing gentle glowing product fresh smooth refreshing clean refreshing care skin beautiful moisturizing skin care,5,positive
moisturizing hydration glowing gentle care glowing product glowing beautiful product glowing,2,positive
fresh care gentle natural moisturizing soft radiant soft beautiful smooth soft hydration soft,6,positive
care natural natural skin radiant fresh soft care refreshing glowing hydration moisturizing smooth moisturizing fresh,4,positive
product fresh fresh skin gentle fresh product gentle gentle,3,positive
beautiful gentle clean soft natural natural smooth clean refreshing,3,positive
natural radiant skin glowing natural gentle radiant gentle fresh product smooth,2,positive
radiant refreshing radiant refreshing fresh skin smooth skin clean skin radiant gentle clean clean,3,positive
radiant skin natural skin refreshing care fresh moisturizing product natural,2,positive
beautiful glowing soft glowing product soft hydration skin glowing fresh soft moisturizing refreshing skin,5,positive
moisturizing product skin skin radiant beautiful moisturizing refreshing clean soft,4,positive
refreshing glowing glowing product moisturizing glowing glowing soft beautiful hydration,3,positive
refreshing natural gentle product skin natural smooth moisturizing glowing soft,4,positive
hydration glowing natural radiant glowing radiant gentle radiant smooth clean refreshing fresh fresh,2,positive
smooth product soft care product fresh natural fresh skin refreshing skin beautiful fresh clean moisturizing,3,positive
moisturizing refreshing glowing clean fresh care clean gentle,3,positive
smooth refreshing product hydration soft care beautiful gentle fresh soft glowing,4,positive
care soft product soft moisturizing gentle natural fresh glowing skin refreshing fresh refreshing,6,positive
care refreshing refreshing moisturizing radiant refreshing product refreshing skin skin refreshing,6,positive
care smooth skin glowing beautiful hydration refreshing beautiful natural beautiful natural glowing glowing,1,positive
gentle care soft glowing soft beautiful glowing soft moisturizing skin product skin fresh,5,positive
refreshing soft product beautiful beautiful hydration care smooth skin product refreshing glowing,3,positive
beautiful hydration product clean refreshing care radiant soft soft smooth hydration fresh beautiful,3,positive
moisturizing hydration product clean clean care refreshing soft skin product skin product glowing,3,positive
moisturizing fresh hydration skin moisturizing moisturizing clean soft fresh,4,positive
hydration natural radiant fresh smooth moisturizing gentle beautiful hydration,2,positive
smooth smooth fresh gentle gentle hydration radiant glowing hydration natural moisturizing glowing smooth skin care,3,positive
refreshing hydration care glowing natural fresh soft fresh glowing product glowing gentle,3,positive
natural smooth care gentle glowing smooth gentle refreshing radiant gentle beautiful natural hydration,4,positive
clean product clean soft smooth smooth radiant radiant refreshing hydration product smooth,2,positive
gentle moisturizing refreshing moisturizing fresh refreshing beautiful gentle beautiful clean moisturizing natural glowing soft,8,positive
soft radiant gentle fresh fresh soft moisturizing skin beautiful gentle glowing,5,positive
refreshing hydration beautiful glowing gentle soft radiant care soft clean,4,positive
beautiful gentle radiant glowing care clean natural natural,1,positive
hydration product product clean soft smooth skin refreshing moisturizing glowing skin,3,positive
product skin beautiful product smooth care glowing soft fresh clean,1,positive
hydration soft gentle moisturizing beautiful natural product soft refreshing beautiful moisturizing glowing,6,positive
skin moisturizing soft fresh clean smooth product skin care refreshing radiant,3,positive
moisturizing beautiful glowing care beautiful radiant gentle moisturizing hydration skin gentle,4,positive
glowing moisturizing smooth fresh product skin skin smooth product radiant glowing smooth soft smooth gentle,3,positive
refreshing fresh care care natural clean moisturizing refreshing,3,positive
product radiant soft skin natural natural smooth smooth natural care natural,1,positive
moisturizing care care fresh moisturizing glowing glowing hydration gentle gentle skin product,4,positive
gentle glowing smooth glowing moisturizing hydration gentle hydration radiant,3,positive
gentle natural smooth soft product refreshing smooth fresh smooth clean glowing hydration skin,3,positive
smooth hydration fresh beautiful care natural glowing hydration clean natural refreshing skin refreshing,2,positive
glowing refreshing product clean gentle skin fresh care moisturizing product glowing refreshing fresh care beautiful,4,positive
product smooth moisturizing beautiful fresh soft moisturizing glowing moisturizing skin,4,positive
beautiful moisturizing radiant skin glowing product fresh glowing glowing fresh,1,positive
gentle beautiful smooth smooth beautiful clean radiant beautiful natural clean beautiful hydration refreshing refreshing,3,positive
clean soft natural gentle moisturizing refreshing glowing care smooth moisturizing care moisturizing soft gentle clean,8,positive
skin beautiful product natural moisturizing clean glowing clean skin skin smooth beautiful,1,positive
soft care refreshing soft glowing natural gentle natural gentle fresh,5,positive
soft soft gentle moisturizing care natural hydration hydration product glowing radiant,4,positive
skin fresh radiant radiant natural refreshing natural hydration fresh,1,positive
refreshing soft beautiful refreshing gentle care beautiful soft smooth smooth,5,positive
hydration gentle soft fresh gentle smooth soft fresh smooth clean,4,positive
beautiful natural radiant hydration clean moisturizing product hydration soft fresh,2,positive
soft clean gentle smooth product soft gentle skin smooth natural radiant natural beautiful smooth fresh,4,positive
skin moisturizing fresh natural skin soft clean moisturizing hydration moisturizing refreshing radiant,5,positive
fresh care moisturizing glowing refreshing product soft radiant fresh,3,positive
moisturizing care smooth gentle fresh refreshing skin moisturizing fresh,4,positive
